"Model","AIC","DeltaAIC","AICexp","AICwt","NagR2","(Intercept)","CumPres","pos"
"preserved ~ CumPres + pos",2346.13363382621,0,1,0.999999950094441,0.0433144168175855,2.62654220343024,0.707114544363694,-0.483486995824763
"preserved ~ CumPres",2379.75990831858,33.6262744923629,4.99053689303852e-08,4.99053664398299e-08,0.0257699421286566,2.02074568974607,0.206678711953744,NA
"preserved ~ pos",2404.68561983556,58.5519860093482,1.93017988695292e-13,1.93017979062621e-13,0.0131157197188426,1.99793498528204,NA,0.135430895919204
